00Z 19 08 2017, 0.00, 10.46
12Z 19 08 2017, 273.20, 21.99
00Z 20 08 2017, 188.19, 19.98
12Z 20 08 2017, 21.37, 24.64
00Z 21 08 2017, 16.82, 27.17
12Z 21 08 2017, 3.22, 27.49
00Z 22 08 2017, 235.31, 25.72
12Z 22 08 2017, 1.30, 25.11
00Z 23 08 2017, 393.65, 20.42
12Z 23 08 2017, 36.05, 25.47
00Z 24 08 2017, 125.57, 20.54
12Z 24 08 2017, 0.52, 25.49
00Z 25 08 2017, 77.44, 23.05
12Z 25 08 2017, 0.00, 22.51
00Z 26 08 2017, 93.07, 20.55
12Z 26 08 2017, 109.60, 24.58
00Z 27 08 2017, 347.87, 25.41
12Z 27 08 2017, 152.34, 19.94
00Z 28 08 2017, 26.36, 20.69
12Z 28 08 2017, 63.40, 21.41
00Z 29 08 2017, 15.94, 25.42
12Z 29 08 2017, 37.64, 20.52
00Z 30 08 2017, 48.13, 21.65
12Z 30 08 2017, 12.50, 19.01
00Z 31 08 2017, 443.03, 20.44
12Z 31 08 2017, 0.00, 19.10
00Z 01 09 2017, 118.79, 18.57
12Z 01 09 2017, 0.00, 15.55
00Z 02 09 2017, 9.06, 12.56
12Z 02 09 2017, 0.00, 17.60
00Z 03 09 2017, 20.40, 15.07
12Z 03 09 2017, 0.00, 16.71
00Z 04 09 2017, 259.85, 15.22
12Z 04 09 2017, 0.00, 15.57
00Z 05 09 2017, 0.00, 10.27
12Z 05 09 2017, 0.00, 15.96
00Z 06 09 2017, 1.53, 15.14
12Z 06 09 2017, 0.00, 17.66
00Z 07 09 2017, 739.10, 18.12
12Z 07 09 2017, 0.00, 20.72
00Z 08 09 2017, 64.19, 20.31
12Z 08 09 2017, 0.00, 19.53
00Z 09 09 2017, 28.74, 13.30
12Z 09 09 2017, 0.00, 22.99
00Z 10 09 2017, 200.83, 22.66
12Z 10 09 2017, 0.00, 19.77
00Z 11 09 2017, 157.50, 20.85
12Z 11 09 2017, 0.00, 19.52
00Z 12 09 2017, 395.04, 20.78
12Z 12 09 2017, 0.00, 18.43
00Z 13 09 2017, 113.42, 21.06
12Z 13 09 2017, 0.00, 16.37
00Z 14 09 2017, 95.32, 17.79
12Z 14 09 2017, 0.00, 16.40
00Z 15 09 2017, 54.23, 19.90
12Z 15 09 2017, 84.53, 17.87
00Z 16 09 2017, 122.33, 18.61
12Z 16 09 2017, 0.00, 18.52
00Z 17 09 2017, 224.49, 15.61
12Z 17 09 2017, 1.64, 15.37
00Z 18 09 2017, 279.04, 16.48
12Z 18 09 2017, 0.00, 12.15
00Z 19 09 2017, 0.00, 12.33
12Z 19 09 2017, 0.00, 5.99
00Z 20 09 2017, 0.00, 7.05
12Z 20 09 2017, 0.00, 10.53
00Z 21 09 2017, 0.00, 9.88
12Z 21 09 2017, 0.00, 11.24
00Z 22 09 2017, 45.78, 14.60
12Z 22 09 2017, 0.00, 12.34
00Z 23 09 2017, 110.32, 17.40
12Z 23 09 2017, 0.00, 18.59
00Z 24 09 2017, 6.33, 20.82
12Z 24 09 2017, 0.00, 9.13
00Z 25 09 2017, 0.00, 8.11
12Z 25 09 2017, 0.00, 9.69
00Z 26 09 2017, 0.00, 5.58
12Z 26 09 2017, 15.08, 13.98
00Z 27 09 2017, 127.15, 16.41
12Z 27 09 2017, 0.00, 18.33
00Z 28 09 2017, 0.00, 26.67
12Z 28 09 2017, 0.00, 19.95
00Z 29 09 2017, 208.91, 21.63
12Z 29 09 2017, 19.28, 21.45
00Z 30 09 2017, 479.68, 20.21
12Z 30 09 2017, 0.68, 21.19
00Z 01 10 2017, 567.24, 23.89
12Z 01 10 2017, 979.93, 21.30
00Z 02 10 2017, 389.04, 16.45
12Z 02 10 2017, 0.00, 8.33
00Z 04 10 2017, 0.00, 9.88
12Z 04 10 2017, 617.42, 26.85
00Z 05 10 2017, 437.98, 26.98
12Z 05 10 2017, 316.76, 32.05
00Z 06 10 2017, 246.56, 25.99
12Z 06 10 2017, 760.40, 26.60
00Z 07 10 2017, 0.00, 4.95
12Z 07 10 2017, 0.00, 3.40
00Z 08 10 2017, 0.00, 4.48
12Z 08 10 2017, 0.00, 5.24
00Z 09 10 2017, 0.00, 5.03
12Z 09 10 2017, 0.00, 7.47
00Z 10 10 2017, 0.00, 5.37
12Z 10 10 2017, 0.00, 5.34
00Z 11 10 2017, 0.00, 5.22
12Z 11 10 2017, 0.00, 8.36
00Z 12 10 2017, 0.00, 8.71
12Z 12 10 2017, 0.00, 14.73
00Z 13 10 2017, 28.66, 16.71
12Z 13 10 2017, 0.00, 15.91
00Z 14 10 2017, 49.53, 20.86
12Z 14 10 2017, 0.00, 14.56
00Z 15 10 2017, 0.00, 5.32
12Z 15 10 2017, 0.00, 2.51
00Z 16 10 2017, 0.00, 3.65
12Z 16 10 2017, 0.00, 3.88
00Z 17 10 2017, 0.00, 4.20
12Z 17 10 2017, 0.00, 8.53
00Z 18 10 2017, 0.00, 5.62
12Z 18 10 2017, 0.00, 6.99
00Z 19 10 2017, 0.00, 6.14
12Z 19 10 2017, 0.00, 11.42
00Z 20 10 2017, 16.06, 15.35
12Z 20 10 2017, 4.02, 16.26
00Z 21 10 2017, 184.60, 13.14
12Z 21 10 2017, 0.00, 11.12
00Z 22 10 2017, 0.00, 4.01
12Z 22 10 2017, 0.00, 6.57
00Z 23 10 2017, 0.00, 8.88
12Z 23 10 2017, 0.00, 9.51
00Z 24 10 2017, 0.00, 10.11
12Z 24 10 2017, 0.00, 10.69
00Z 25 10 2017, 0.00, 8.19
12Z 25 10 2017, 0.00, 8.81
00Z 26 10 2017, 0.00, 6.73
12Z 26 10 2017, 0.00, 6.91
00Z 27 10 2017, 0.00, 7.68
12Z 27 10 2017, 0.00, 9.07
00Z 28 10 2017, 0.00, 8.58
12Z 28 10 2017, 0.00, 10.00
00Z 29 10 2017, 0.00, 9.23
12Z 29 10 2017, 0.00, 8.11
00Z 30 10 2017, 0.00, 6.96
12Z 30 10 2017, 0.00, 8.21
00Z 31 10 2017, 0.00, 10.90
12Z 31 10 2017, 0.00, 12.58
00Z 01 11 2017, 0.00, 12.79
12Z 01 11 2017, 0.00, 9.17
00Z 02 11 2017, 0.00, 6.00
12Z 02 11 2017, 0.00, 9.27
00Z 03 11 2017, 0.00, 10.90
12Z 03 11 2017, 0.00, 7.39
00Z 04 11 2017, 0.00, 8.68
12Z 04 11 2017, 0.00, 13.42
00Z 05 11 2017, 0.00, 14.81
12Z 05 11 2017, 0.00, 14.60
00Z 06 11 2017, 0.00, 9.42
12Z 06 11 2017, 0.00, 9.30
00Z 07 11 2017, 0.00, 9.93
12Z 07 11 2017, 0.00, 13.32
00Z 08 11 2017, 19.22, 13.74
12Z 08 11 2017, 0.00, 10.19
00Z 09 11 2017, 0.00, 4.25
12Z 09 11 2017, 0.00, 3.73
00Z 10 11 2017, 0.00, 8.48
12Z 10 11 2017, 0.00, 9.41
00Z 11 11 2017, 0.00, 7.36
12Z 11 11 2017, 0.00, 8.39
00Z 12 11 2017, 0.00, 7.30
12Z 12 11 2017, 0.00, 7.11
00Z 13 11 2017, 0.00, 8.54
12Z 13 11 2017, 0.00, 12.39
00Z 14 11 2017, 0.00, 10.97
12Z 14 11 2017, 0.00, 8.28
00Z 15 11 2017, 0.00, 7.24
12Z 15 11 2017, 0.00, 6.39
00Z 16 11 2017, 0.00, 9.44
12Z 16 11 2017, 0.00, 6.25
00Z 17 11 2017, 0.00, 13.59
12Z 17 11 2017, 0.00, 8.22
00Z 18 11 2017, 0.00, 17.60
12Z 18 11 2017, 0.00, 2.37
00Z 19 11 2017, 0.00, 1.38
12Z 19 11 2017, 0.00, 1.47
00Z 20 11 2017, 0.00, 1.92
12Z 20 11 2017, 0.00, 2.69
00Z 21 11 2017, 0.00, 6.01
12Z 21 11 2017, 0.00, 8.12
00Z 22 11 2017, 0.00, 8.73
12Z 22 11 2017, 0.00, 10.12
00Z 23 11 2017, 0.00, 9.38
12Z 23 11 2017, 0.00, 8.14
00Z 24 11 2017, 0.00, 7.90
